run,iteration,samples,cost,time
0,0,300,7.14598,1.2216
0,1,300,4.03543,1.18589
0,2,300,3.28793,1.03352
0,3,300,2.87334,1.05851
0,0,600,5.28053,2.15592
0,1,600,2.18129,2.32765
0,2,600,1.33037,2.36148
0,3,600,1.00941,2.22211
0,0,900,4.59252,3.1597
0,1,900,1.71867,3.85753
0,2,900,1.21494,3.53129
0,3,900,0.973213,3.43377
1,0,300,6.47634,1.03437
1,1,300,2.24345,1.01066
1,2,300,1.42896,0.990989
1,3,300,1.12182,0.986158
1,0,600,5.2019,2.22372
1,1,600,2.19056,2.46082
1,2,600,1.33269,2.18809
1,3,600,1.02049,2.15695
1,0,900,4.45493,3.29729
1,1,900,1.84526,3.69442
1,2,900,1.22483,3.36279
1,3,900,0.994977,3.62007
2,0,300,6.75353,1.04115
2,1,300,2.58746,1.07096
2,2,300,1.58977,1.01374
2,3,300,1.07886,0.971864
2,0,600,4.49521,2.09969
2,1,600,1.77472,2.23903
2,2,600,1.27706,2.22323
2,3,600,1.01346,2.14618
2,0,900,4.12369,3.20755
2,1,900,1.67493,3.69092
2,2,900,1.16554,3.28605
2,3,900,0.97842,3.41226
3,0,300,5.98393,1.0365
3,1,300,2.84924,1.07561
3,2,300,1.76215,1.0017
3,3,300,1.24563,0.993755
3,0,600,5.16154,2.12444
3,1,600,2.34296,2.40477
3,2,600,1.34342,2.36132
3,3,600,1.03507,2.14075
3,0,900,4.13421,3.20803
3,1,900,1.57023,3.50126
3,2,900,1.18308,3.26391
3,3,900,0.988978,3.55771
4,0,300,6.24708,1.02903
4,1,300,2.31988,1.0678
4,2,300,1.51863,1.016
4,3,300,1.08912,0.987312
4,0,600,5.42595,2.10055
4,1,600,1.94947,2.29767
4,2,600,1.27018,2.15348
4,3,600,0.9852,2.08345
4,0,900,4.41865,3.17947
4,1,900,1.76337,3.82425
4,2,900,1.24915,3.40293
4,3,900,0.986894,3.58056
5,0,300,6.12425,1.05389
5,1,300,2.54931,1.05487
5,2,300,1.53907,1.0009
5,3,300,1.15887,0.989635
5,0,600,4.90517,2.11537
5,1,600,2.22742,2.30021
5,2,600,1.36525,2.42329
5,3,600,1.04558,2.12434
5,0,900,3.97316,3.18154
5,1,900,1.6898,3.60397
5,2,900,1.24303,3.36521
5,3,900,0.976899,3.60759
6,0,300,6.2551,1.03135
6,1,300,2.39492,1.11339
6,2,300,1.57361,0.974077
6,3,300,1.13855,0.987478
6,0,600,4.97936,2.09782
6,1,600,1.95408,2.37712
6,2,600,1.24713,2.23541
6,3,600,0.993066,2.10223
6,0,900,4.0722,3.19115
6,1,900,1.64608,3.62558
6,2,900,1.16744,3.24347
6,3,900,0.963425,3.41688
7,0,300,7.08185,1.02775
7,1,300,3.5402,1.09293
7,2,300,2.25738,1.0133
7,3,300,1.7948,1.00152
7,0,600,4.70241,2.09024
7,1,600,2.0816,2.34805
7,2,600,1.30488,2.33342
7,3,600,1.04777,2.06175
7,0,900,4.42524,3.17987
7,1,900,1.7759,3.84591
7,2,900,1.18639,3.38104
7,3,900,0.955296,3.49182
8,0,300,5.86838,1.06194
8,1,300,2.41763,1.09939
8,2,300,1.48853,1.07124
8,3,300,1.10099,0.985891
8,0,600,5.0888,2.15841
8,1,600,1.72844,2.39193
8,2,600,1.27663,2.15007
8,3,600,1.00114,2.10765
8,0,900,4.41885,3.23695
8,1,900,1.77046,3.86332
8,2,900,1.20308,3.48205
8,3,900,0.995944,3.42956
9,0,300,6.29158,1.06001
9,1,300,2.40511,1.12635
9,2,300,1.68281,1.06292
9,3,300,1.20462,1.01102
9,0,600,5.0665,2.13743
9,1,600,2.01195,2.4405
9,2,600,1.29036,2.5151
9,3,600,1.00043,2.13395
9,0,900,4.46445,3.21619
9,1,900,1.6624,3.83899
9,2,900,1.21674,3.29892
9,3,900,0.948756,3.48398
